,round,curr_1,curr_2,amount
0,0,USD,INR,1.5
1,0,USD,JPY,2.5
2,0,USD,EUR,0.5
3,0,INR,JPY,1.67
4,0,INR,EUR,0.33
5,0,JPY,EUR,0.2
6,1,USD,INR,1.5
7,1,USD,JPY,2.5
8,1,USD,EUR,0.5
9,1,INR,JPY,1.67
10,1,INR,EUR,0.33
11,1,JPY,EUR,0.2
12,2,USD,INR,1.58
13,2,USD,JPY,2.5
14,2,USD,EUR,0.5
15,2,INR,JPY,1.67
16,2,INR,EUR,0.33
17,2,JPY,EUR,0.2
18,3,USD,INR,1.58
19,3,USD,JPY,2.3
20,3,USD,EUR,0.5
21,3,INR,JPY,1.67
22,3,INR,EUR,0.38
23,3,JPY,EUR,0.25
24,4,USD,INR,1.58
25,4,USD,JPY,2.3
26,4,USD,EUR,0.45
27,4,INR,JPY,1.77
28,4,INR,EUR,0.38
29,4,JPY,EUR,0.25
30,5,USD,INR,1.45
31,5,USD,JPY,2.3
32,5,USD,EUR,0.45
33,5,INR,JPY,1.77
34,5,INR,EUR,0.38
35,5,JPY,EUR,0.22
36,6,USD,INR,1.45
37,6,USD,JPY,2.44
38,6,USD,EUR,0.45
39,6,INR,JPY,1.77
40,6,INR,EUR,0.35
41,6,JPY,EUR,0.22
42,7,USD,INR,1.45
43,7,USD,JPY,2.44
44,7,USD,EUR,0.47
45,7,INR,JPY,1.88
46,7,INR,EUR,0.35
47,7,JPY,EUR,0.22
